aprueba,created_at
TRUE,6:49:06 PM
FALSE,7:43:49 PM
TRUE,1:37:45 PM
TRUE,7:24:59 PM
TRUE,7:26:41 PM
TRUE,2:00:54 AM
TRUE,2:02:21 AM
TRUE,3:10:20 PM
TRUE,12:51:40 PM
TRUE,7:28:59 PM
TRUE,3:11:27 PM
TRUE,4:44:36 AM
FALSE,4:53:01 AM
TRUE,7:39:53 PM
FALSE,1:03:20 PM
TRUE,4:15:17 PM
TRUE,6:23:07 PM
FALSE,7:06:16 PM
TRUE,7:18:31 PM
TRUE,5:21:36 PM
TRUE,12:04:51 PM
TRUE,7:51:31 PM
TRUE,8:49:32 AM
TRUE,10:45:24 PM
TRUE,1:44:16 PM
TRUE,9:25:24 AM
TRUE,12:57:39 PM
TRUE,6:21:03 PM
TRUE,6:35:19 PM
TRUE,10:05:47 AM
FALSE,1:43:25 PM
TRUE,5:11:40 PM
FALSE,11:45:51 PM
TRUE,12:00:19 PM
TRUE,11:38:31 PM
FALSE,8:06:58 PM
TRUE,12:22:19 AM
TRUE,4:53:58 PM
FALSE,6:27:10 PM
TRUE,5:45:52 PM
FALSE,6:47:41 PM
TRUE,12:06:55 PM
TRUE,10:03:01 PM
TRUE,11:13:10 PM
TRUE,12:13:28 AM
TRUE,11:27:14 AM
TRUE,11:06:33 AM
TRUE,6:19:17 PM
TRUE,2:28:29 PM
TRUE,9:16:16 PM
TRUE,1:18:39 AM
TRUE,6:25:52 PM
TRUE,5:11:04 PM
TRUE,10:40:50 AM
TRUE,5:52:16 PM
TRUE,7:48:00 PM
TRUE,1:59:18 AM
TRUE,10:28:16 AM
TRUE,7:46:05 PM
TRUE,5:34:44 PM
FALSE,8:18:02 PM
TRUE,12:26:02 PM
TRUE,2:28:38 PM
TRUE,9:10:40 AM
TRUE,3:59:19 PM
TRUE,4:46:49 AM
TRUE,7:01:53 PM
FALSE,8:55:57 AM
FALSE,5:18:14 PM
FALSE,4:13:14 PM
TRUE,10:26:53 AM
TRUE,6:11:31 PM
FALSE,4:13:33 PM
TRUE,11:47:52 AM
TRUE,12:13:20 PM
TRUE,4:59:35 AM
TRUE,5:07:08 PM
TRUE,1:41:29 PM
TRUE,5:25:28 PM
TRUE,6:53:14 PM
TRUE,7:30:53 PM
TRUE,7:53:06 PM
TRUE,10:54:58 PM
TRUE,11:18:51 PM
TRUE,11:22:48 PM
TRUE,12:53:33 AM
FALSE,1:19:13 AM
TRUE,4:43:07 AM
TRUE,1:42:17 PM
FALSE,3:20:28 PM
TRUE,3:22:46 PM
TRUE,10:41:00 AM
TRUE,10:57:15 AM
FALSE,11:16:33 AM
TRUE,2:19:03 PM
TRUE,2:53:38 PM
TRUE,3:02:41 PM
FALSE,4:03:58 PM
TRUE,6:49:29 PM
TRUE,7:40:44 PM
TRUE,7:53:19 PM
TRUE,5:52:12 PM
TRUE,11:50:08 PM
TRUE,5:36:28 PM
TRUE,2:08:41 PM
FALSE,9:49:57 AM
TRUE,3:02:54 PM
FALSE,3:36:14 PM
FALSE,1:54:47 PM
TRUE,12:44:16 AM
TRUE,1:40:50 PM
FALSE,2:17:55 PM
FALSE,9:35:34 PM
TRUE,6:29:39 PM
TRUE,6:20:26 PM
FALSE,2:27:12 PM
TRUE,4:08:44 PM
TRUE,2:43:04 PM
TRUE,4:06:04 AM
TRUE,6:31:46 PM
TRUE,11:03:11 PM
TRUE,4:44:42 PM
TRUE,4:53:30 PM
FALSE,5:32:06 PM
TRUE,7:49:50 PM
TRUE,11:21:17 PM
TRUE,1:53:46 AM
FALSE,10:35:17 PM
FALSE,8:47:04 PM
TRUE,10:30:49 PM
FALSE,10:38:05 AM
TRUE,10:20:50 AM
FALSE,4:49:07 PM
FALSE,11:19:40 AM
TRUE,12:06:17 PM
TRUE,8:20:00 PM
TRUE,11:24:19 AM
TRUE,12:34:52 PM
TRUE,1:19:30 PM
TRUE,4:07:07 PM
FALSE,4:40:59 PM
TRUE,9:32:24 PM
TRUE,5:57:40 PM
TRUE,11:39:39 PM
TRUE,5:07:32 PM
TRUE,4:36:23 PM
TRUE,3:02:37 PM
TRUE,5:28:51 PM
TRUE,6:02:50 PM
TRUE,4:38:53 PM
TRUE,4:41:47 PM
FALSE,7:55:38 PM
TRUE,6:04:49 PM
TRUE,6:36:00 PM
FALSE,6:44:53 PM
TRUE,12:08:54 PM
TRUE,1:10:16 PM
TRUE,12:15:25 PM
TRUE,4:49:25 PM
TRUE,5:12:36 PM
TRUE,5:18:54 PM
TRUE,5:43:21 PM
TRUE,6:05:19 PM
TRUE,8:13:36 PM
TRUE,8:56:40 AM
TRUE,11:00:22 PM
TRUE,2:27:26 PM
TRUE,2:06:57 PM
TRUE,3:49:30 PM
TRUE,9:01:39 PM
FALSE,7:54:41 PM
TRUE,7:59:37 PM
TRUE,9:07:44 PM
TRUE,11:25:41 PM
TRUE,2:05:13 PM
FALSE,2:08:57 PM
TRUE,2:14:01 PM
FALSE,7:52:27 PM
TRUE,10:21:15 AM
FALSE,7:53:17 PM
FALSE,7:54:52 PM
TRUE,10:03:49 AM
TRUE,10:28:22 AM
FALSE,10:53:53 AM
TRUE,8:31:06 PM
TRUE,12:23:36 PM
FALSE,12:26:17 PM
TRUE,5:37:47 PM
FALSE,6:46:26 PM
TRUE,6:52:54 PM
TRUE,6:53:49 PM
TRUE,7:39:25 PM
TRUE,5:13:57 PM
TRUE,2:40:11 PM
FALSE,6:29:05 PM
FALSE,7:45:02 PM
FALSE,9:53:31 AM
TRUE,1:39:33 PM
TRUE,10:11:53 AM
TRUE,5:19:34 PM
FALSE,5:06:02 PM
FALSE,10:00:32 PM
FALSE,9:36:01 AM
FALSE,11:10:13 PM
TRUE,2:04:29 PM
FALSE,8:06:12 PM
TRUE,11:52:27 AM
TRUE,7:49:00 PM
TRUE,10:50:34 AM
FALSE,7:09:58 PM
TRUE,2:16:12 PM
TRUE,2:18:50 PM
TRUE,8:17:41 PM
FALSE,12:02:17 AM
TRUE,6:01:37 PM
FALSE,12:48:17 AM
TRUE,12:43:07 AM
FALSE,5:42:58 PM
TRUE,9:15:51 PM
TRUE,10:22:54 AM
TRUE,12:19:47 PM
TRUE,9:23:12 PM
FALSE,11:38:16 AM
TRUE,1:11:46 PM
TRUE,3:43:54 PM
FALSE,4:20:16 PM
TRUE,6:18:02 PM
TRUE,6:09:09 PM
TRUE,9:03:40 AM
TRUE,6:47:00 PM
TRUE,7:57:57 PM
FALSE,6:37:50 PM
FALSE,4:50:11 PM
FALSE,7:41:13 PM
TRUE,7:45:59 PM
TRUE,10:07:09 PM
FALSE,11:08:56 AM
TRUE,11:09:42 AM
FALSE,9:56:47 AM
TRUE,1:40:36 PM
TRUE,7:30:50 PM
TRUE,10:06:09 PM
TRUE,5:27:35 PM
TRUE,8:00:32 PM
FALSE,4:37:53 PM
TRUE,7:18:03 AM
FALSE,7:43:53 AM
TRUE,3:56:28 PM
TRUE,11:29:52 AM
TRUE,3:34:37 PM
TRUE,3:37:19 PM
TRUE,4:56:24 PM
TRUE,11:35:44 PM
TRUE,4:43:46 PM
FALSE,2:23:55 PM
TRUE,3:16:12 PM
FALSE,4:18:18 PM
TRUE,3:37:13 PM
TRUE,3:46:23 PM
TRUE,3:54:22 PM
TRUE,4:26:43 PM
TRUE,4:51:01 PM
FALSE,6:02:19 PM
FALSE,6:04:30 PM
TRUE,6:18:11 PM
TRUE,6:27:19 PM
TRUE,4:09:26 PM
FALSE,2:11:20 PM
TRUE,5:02:19 PM
TRUE,4:33:41 PM
FALSE,8:58:14 AM
TRUE,9:00:42 AM
TRUE,7:04:49 PM
TRUE,5:07:55 PM
TRUE,5:38:42 PM
TRUE,10:09:05 AM
TRUE,10:50:28 AM
TRUE,9:13:24 PM
